1 6 9 13 24 29 34 36 38 48 53 58 61 63 69 77 85 86 90 94 102 110 116
1 7 10 17 24 32 34 36 38 48 53 58 59 63 69 77 85 86 90 94 102 110 116
1 6 10 17 24 29 34 36 38 48 53 58 59 66 67 76 85 86 90 94 102 110 116
1 6 9 17 24 29 34 36 38 48 53 58 61 66 67 77 85 86 90 94 102 110 116
1 6 10 17 24 31 34 36 38 48 53 58 59 63 67 77 85 86 90 94 102 110 116
1 6 10 13 24 32 34 36 38 48 53 58 61 63 67 77 85 86 90 94 102 110 119
1 6 10 17 24 29 34 36 38 48 53 58 59 63 69 77 85 86 90 94 102 110 117
1 6 9 13 24 32 34 36 38 48 53 58 59 66 69 77 85 86 90 94 102 110 117
1 3 10 17 24 31 34 36 38 48 53 58 59 63 67 76 85 86 90 94 102 110 116
2 3 11 15 24 28 34 37 39 43 52 58 61 63 67 76 85 86 91 93 102 108 114
1 3 9 17 24 32 34 36 38 48 53 58 61 63 67 76 85 86 90 94 102 110 116
1 3 9 17 24 29 34 36 38 48 53 58 59 63 69 76 85 86 90 94 102 110 119
1 6 10 13 24 31 34 36 38 48 53 58 61 66 69 76 85 86 90 94 102 110 119
1 3 9 17 24 31 34 36 38 48 53 58 59 63 69 77 85 86 90 94 102 110 116
1 3 9 13 24 31 34 36 38 48 53 58 59 66 67 76 85 86 90 94 102 110 116
1 3 9 13 24 29 34 36 38 48 53 58 61 63 67 76 85 86 90 94 102 110 117
1 3 9 13 24 31 34 36 38 48 53 58 61 66 67 76 85 86 90 94 102 110 119
2 3 11 16 24 28 34 37 39 43 52 58 59 66 67 76 85 86 91 93 102 108 114
1 6 10 17 24 29 34 36 38 48 53 58 61 63 67 77 85 86 90 94 102 110 119
1 6 10 17 24 29 34 36 38 48 53 58 59 66 67 77 85 86 90 94 102 110 119
1 3 10 17 24 31 34 36 38 48 53 58 59 63 67 76 85 86 90 94 102 110 117
1 3 9 13 24 31 34 36 38 48 53 58 61 66 69 76 85 86 90 94 102 110 117
1 7 9 17 24 31 34 36 38 48 53 58 61 63 69 77 85 86 90 94 102 110 117
1 7 10 17 24 29 34 36 38 48 53 58 61 63 67 76 85 86 90 94 102 110 116
1 6 10 17 24 32 34 36 38 48 53 58 61 66 69 77 85 86 90 94 102 110 116
1 3 9 13 24 29 34 36 38 48 53 58 61 66 67 76 85 86 90 94 102 110 119
1 6 9 13 24 32 34 36 38 48 53 58 61 63 67 76 85 86 90 94 102 110 119
1 3 9 17 24 32 34 36 38 48 53 58 61 63 67 76 85 86 90 94 102 110 117
1 6 10 13 24 31 34 36 38 48 53 58 61 66 67 76 85 86 90 94 102 110 116
1 3 9 13 24 32 34 36 38 48 53 58 61 63 67 76 85 86 90 94 102 110 117
2 7 11 15 24 28 34 37 39 43 52 58 59 66 67 76 85 86 91 93 102 108 114
1 7 10 13 24 29 34 36 38 48 53 58 59 66 69 76 85 86 90 94 102 110 116
1 6 9 17 24 29 34 36 38 48 53 58 59 66 69 76 85 86 90 94 102 110 116
1 3 10 17 24 29 34 36 38 48 53 58 61 63 69 77 85 86 90 94 102 110 116
1 3 9 13 24 32 34 36 38 48 53 58 59 63 69 77 85 86 90 94 102 110 119
1 3 9 13 24 31 34 36 38 48 53 58 59 63 67 77 85 86 90 94 102 110 116
1 6 10 17 24 31 34 36 38 48 53 58 61 63 67 77 85 86 90 94 102 110 119
1 6 10 13 24 32 34 36 38 48 53 58 59 63 67 77 85 86 90 94 102 110 119
1 3 10 17 24 31 34 36 38 48 53 58 59 63 67 76 85 86 90 94 102 110 119
1 6 9 17 24 31 34 36 38 48 53 58 59 66 69 77 85 86 90 94 102 110 117
1 3 9 17 24 32 34 36 38 48 53 58 59 66 69 76 85 86 90 94 102 110 116
1 3 9 13 24 32 34 36 38 48 53 58 61 63 69 76 85 86 90 94 102 110 117
1 6 10 13 24 29 34 36 38 48 53 58 61 66 67 77 85 86 90 94 102 110 119
1 6 10 17 24 32 34 36 38 48 53 58 59 66 67 77 85 86 90 94 102 110 119
1 6 10 13 24 32 34 36 38 48 53 58 61 63 67 76 85 86 90 94 102 110 119
1 6 10 13 24 29 34 36 38 48 53 58 59 63 67 76 85 86 90 94 102 110 116
1 6 9 13 24 31 34 36 38 48 53 58 59 66 69 77 85 86 90 94 102 110 117
1 6 10 17 24 29 34 36 38 48 53 58 61 63 69 76 85 86 90 94 102 110 117
1 6 10 17 24 32 34 36 38 48 53 58 61 63 67 77 85 86 90 94 102 110 119
1 3 10 17 24 32 34 36 38 48 53 58 61 63 67 77 85 86 90 94 102 110 117
1 7 9 17 24 29 34 36 38 48 53 58 59 66 69 77 85 86 90 94 102 110 117
